;Coal;Oil;Gas;Biofuels;Waste;Nuclear;Hydro;Geothermal;Solar PV;Solar thermal;Wind;Tide
Omán;0;863;31895;0;0;0;0;0;0;0;0;0
Pakistán;148;35362;35001;556;0;4605;34633;0;207;0;786;0
Panamá;712;2858;0;34;0;0;6257;0;16;0;419;0
Paraguay;0;1;0;0;0;0;55743;0;0;0;0;0
Perú;405;677;21726;907;0;0;23711;0;230;0;595;0
Polonia;132962;2118;6387;9936;75;0;2435;0;57;0;10858;0
Portugal;14727;1312;10562;2812;592;0;9799;204;796;0;11607;0
Qatar;0;0;41499;0;0;0;0;0;0;0;0;0
Reino Unido;76968;2037;99876;26656;6139;70345;9038;0;7546;0;40317;2
República Checa;43837;94;2264;4703;165;26841;3071;0;2264;0;573;0
República de Macedonia;3295;139;183;20;0;0;1865;0;23;0;121;0
República de Moldova;0;9;5755;15;0;0;308;0;2;0;2;0
República Dominicana;2373;9731;4287;28;0;0;1182;0;179;0;725;0
Rumania;18220;474;9386;524;0;11640;17007;0;1982;0;7063;0
Rusia;158550;10102;529749;30;2789;195470;169914;457;335;0;148;0
Senegal;0;3624;82;73;0;0;333;0;4;0;0;0
Serbia;27230;28;218;24;4;0;10783;0;11;0;0;0
Singapur;603;352;47909;221;1266;0;0;0;64;0;0;0
Siria;0;5298;12271;0;0;0;413;0;0;0;0;0
Sri Lanka;4443;2349;0;57;0;0;5969;0;21;0;343;0
Sudán;0;4627;0;0;0;0;8420;0;0;0;0;0
Sudán del Sur;0;576;0;0;0;0;0;0;2;0;0;0
Suecia;1261;252;425;9016;2952;56348;75439;0;97;0;16268;0
Suiza;0;45;662;518;2296;23089;39881;0;1119;0;110;0
Sur África;228383;183;0;259;0;12237;3720;0;2183;190;2500;0
Surinam;0;902;0;0;0;0;1356;0;0;0;0;0
Tailandia;34582;1014;126986;7211;235;0;4743;1;2378;0;329;0
Tanzania;0;1381;2863;21;0;0;2108;0;21;0;0;0
Tayikistán;162;0;0;0;0;0;17000;0;0;0;0;0
Togo;0;20;0;5;0;0;56;0;0;0;0;0
Trinidad y Tobago;0;24;10276;0;0;0;0;0;0;0;0;0
Túnez;0;912;17992;0;0;0;69;0;41;0;448;0
Turkmenistán;0;0;22534;0;0;0;0;0;0;0;0;0
Turquía;76166;2224;99218;1241;22;0;67146;3425;194;0;11652;0
Ucrania;56062;746;10102;145;0;87627;6971;0;477;0;1084;0
Uruguay;0;940;0;1788;0;0;8266;0;49;0;2065;0
USA;1470997;38837;1372570;61640;18826;830288;271129;18727;32091;3544;192992;0
Uzbekistán;2340;147;42963;0;0;0;11830;0;0;0;0;0
Venezuela;0;19856;27966;0;0;0;74899;0;0;0;0;0
Vietnam;53730;745;45629;60;0;0;56123;0;0;0;121;0
Yemen;0;3205;2263;0;0;0;0;0;549;0;0;0
Zambia;0;404;0;0;0;0;13037;0;0;0;0;0
Zimbabue;4542;45;0;129;0;0;4990;0;0;0;0;0
